,"T I T E L"
"Egerkingen","2401"
"Härkingen","2402"
"Kestenholz","2403"
"Neuendorf","2404"
"Niederbuchsiten","2405"
"Oberbuchsiten","2406"
"Oensingen","2407"
"Wolfwil","2408"
"Aedermannsdorf","2421"
"Balsthal","2422"
"Gänsbrunnen","2423"
"Holderbank (SO)","2425"
"Laupersdorf","2426"
"Matzendorf","2427"
"Mümliswil-Ramiswil","2428"
"Welschenrohr","2429"
"Biezwil","2445"
"Lüterkofen-Ichertswil","2455"
"Lüterswil-Gächliwil","2456"
"Messen","2457"
"Schnottwil","2461"
"Unterramsern","2463"
"Lüsslingen-Nennigkofen","2464"
"Buchegg","2465"
"Bättwil","2471"
"Büren (SO)","2472"
"Dornach","2473"
"Gempen","2474"
"Hochwald","2475"
"Hofstetten-Flüh","2476"
"Metzerlen-Mariastein","2477"
"Nuglar-St. Pantaleon","2478"
"Rodersdorf","2479"
"Seewen","2480"
"Witterswil","2481"
"Hauenstein-Ifenthal","2491"
"Kienberg","2492"
"Lostorf","2493"
"Niedergösgen","2495"
"Obergösgen","2497"
"Rohr (SO)","2498"
"Stüsslingen","2499"
"Trimbach","2500"
"Winznau","2501"
"Wisen (SO)","2502"
"Erlinsbach (SO)","2503"
"Aeschi (SO)","2511"
"Biberist","2513"
"Bolken","2514"
"Deitingen","2516"
"Derendingen","2517"
"Etziken","2518"
"Gerlafingen","2519"
"Halten","2520"
"Horriwil","2523"
"Hüniken","2524"
"Kriegstetten","2525"
"Lohn-Ammannsegg","2526"
"Luterbach","2527"
"Obergerlafingen","2528"
"Oekingen","2529"
"Recherswil","2530"
"Subingen","2532"
"Zuchwil","2534"
"Drei Höfe","2535"
"Balm bei Günsberg","2541"
"Bettlach","2543"
"Feldbrunnen-St. Niklaus","2544"
"Flumenthal","2545"
"Grenchen","2546"
"Günsberg","2547"
"Hubersdorf","2548"
"Kammersrohr","2549"
"Langendorf","2550"
"Lommiswil","2551"
"Oberdorf (SO)","2553"
"Riedholz","2554"
"Rüttenen","2555"
"Selzach","2556"
"Boningen","2571"
"Däniken","2572"
"Dulliken","2573"
"Eppenberg-Wöschnau","2574"
"Fulenbach","2575"
"Gretzenbach","2576"
"Gunzgen","2578"
"Hägendorf","2579"
"Kappel (SO)","2580"
"Olten","2581"
"Rickenbach (SO)","2582"
"Schönenwerd","2583"
"Starrkirch-Wil","2584"
"Walterswil (SO)","2585"
"Wangen bei Olten","2586"
"Bärschwil","2611"
"Beinwil (SO)","2612"
"Breitenbach","2613"
"Büsserach","2614"
"Erschwil","2615"
"Fehren","2616"
"Grindel","2617"
"Himmelried","2618"
"Kleinlützel","2619"
"Meltingen","2620"
"Nunningen","2621"
"Zullwil","2622"
